date,rank,song,artist,last-week,peak-rank,weeks-on-board,song_clean,artist_clean
2021-11-06,1,Easy On Me,Adele,1.0,1,3,easy on me,adele
2021-11-06,2,Stay,The Kid LAROI & Justin Bieber,2.0,1,16,stay,the kid laroi and justin bieber
2021-11-06,3,Industry Baby,Lil Nas X & Jack Harlow,3.0,1,14,industry baby,lil nas x and jack harlow
2021-11-06,4,Fancy Like,Walker Hayes,4.0,3,19,fancy like,walker hayes
2021-11-06,5,Bad Habits,Ed Sheeran,5.0,2,18,bad habits,ed sheeran
2021-11-06,6,Way 2 Sexy,Drake Featuring Future & Young Thug,6.0,1,8,way 2 sexy,drake featuring future and young thug
2021-11-06,7,Shivers,Ed Sheeran,9.0,7,7,shivers,ed sheeran
2021-11-06,8,Good 4 U,Olivia Rodrigo,7.0,1,24,good 4 u,olivia rodrigo
2021-11-06,9,Need To Know,Doja Cat,11.0,9,20,need to know,doja cat
2021-11-06,10,Levitating,Dua Lipa,8.0,2,56,levitating,dua lipa
2021-11-06,11,Essence,Wizkid Featuring Justin Bieber & Tems,12.0,9,17,essence,wizkid featuring justin bieber and tems
2021-11-06,12,Kiss Me More,Doja Cat Featuring SZA,10.0,3,29,kiss me more,doja cat featuring sza
2021-11-06,13,Heat Waves,Glass Animals,14.0,12,41,heat waves,glass animals
2021-11-06,14,Beggin',Maneskin,15.0,14,18,beggin',maneskin
2021-11-06,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,21.0,15,8,cold heart,elton john and dua lipa
2021-11-06,16,You Right,Doja Cat & The Weeknd,16.0,11,18,you right,doja cat and the weeknd
2021-11-06,17,Save Your Tears,The Weeknd & Ariana Grande,17.0,1,46,save your tears,the weeknd and ariana grande
2021-11-06,18,If I Didn't Love You,Jason Aldean & Carrie Underwood,23.0,15,14,if i didn't love you,jason aldean and carrie underwood
2021-11-06,19,Traitor,Olivia Rodrigo,22.0,9,23,traitor,olivia rodrigo
2021-11-06,20,My Universe,Coldplay x BTS,13.0,1,5,my universe,coldplay x bts
2021-11-06,21,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",19.0,17,3,who want smoke,nardo wick featuring g herbo lil durk and 21 savage
2021-11-06,22,Knife Talk,Drake Featuring 21 Savage & Project Pat,18.0,4,8,knife talk,drake featuring 21 savage and project pat
2021-11-06,23,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,32.0,23,7,meet me at our spot,the anxiety willow and tyler cole
2021-11-06,24,Montero (Call Me By Your Name),Lil Nas X,24.0,1,31,montero,lil nas x
2021-11-06,25,Chasing After You,Ryan Hurd With Maren Morris,25.0,23,26,chasing after you,ryan hurd with maren morris
2021-11-06,26,Girls Want Girls,Drake Featuring Lil Baby,26.0,2,8,girls want girls,drake featuring lil baby
2021-11-06,27,Moth To A Flame,Swedish House Mafia & The Weeknd,0.0,27,1,moth to a flame,swedish house mafia and the weeknd
2021-11-06,28,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,0.0,28,1,let's go brandon,bryson gray featuring tyson james and chandler crump
2021-11-06,29,Thats What I Want,Lil Nas X,28.0,10,6,thats what i want,lil nas x
2021-11-06,30,Pepas,Farruko,29.0,25,14,pepas,farruko
2021-11-06,31,Love Nwantiti (Ah Ah Ah),CKay,31.0,31,6,love nwantiti,ckay
2021-11-06,32,Take My Breath,The Weeknd,27.0,6,12,take my breath,the weeknd
2021-11-06,33,Happier Than Ever,Billie Eilish,30.0,11,13,happier than ever,billie eilish
2021-11-06,34,Wockesha,Moneybagg Yo,33.0,20,27,wockesha,moneybagg yo
2021-11-06,35,Better Days,NEIKED X Mae Muller X Polo G,57.0,35,2,better days,neiked x mae muller x polo g
