date,rank,song,artist,last-week,peak-rank,weeks-on-board,song_raw,artist_raw,paren_tag,version_type,song_base,artist_canon,artist_key,year,genius_id,genius_url,genius_path,genius_full_title,genius_primary_artist,genius_pageviews,genius_pyongs,genius_annotation_count,genius_lyrics_state,match_score,title_has_spanish_char,title_has_spanish_word,genius_has_spanish_translation_hint
2021-11-06,1,Easy On Me,Adele,1.0,1,3,Easy On Me,Adele,,none,easy on me,adele,adele,2021,7260084.0,https://genius.com/Adele-easy-on-me-lyrics,/Adele-easy-on-me-lyrics,Easy On Me by Adele,Adele,2968964.0,,7.0,complete,1.0,False,False,False
2021-11-06,2,Stay,The Kid LAROI & Justin Bieber,2.0,1,16,Stay,The Kid LAROI & Justin Bieber,,none,stay,the kid laroi and justin bieber,kid laroi and justin bieber,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,3,Industry Baby,Lil Nas X & Jack Harlow,3.0,1,14,Industry Baby,Lil Nas X & Jack Harlow,,none,industry baby,lil nas x and jack harlow,lil nas x and jack harlow,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,4,Fancy Like,Walker Hayes,4.0,3,19,Fancy Like,Walker Hayes,,none,fancy like,walker hayes,walker hayes,2021,6784918.0,https://genius.com/Walker-hayes-fancy-like-lyrics,/Walker-hayes-fancy-like-lyrics,Fancy Like by Walker Hayes,Walker Hayes,135100.0,,18.0,complete,1.0,False,False,False
2021-11-06,5,Bad Habits,Ed Sheeran,5.0,2,18,Bad Habits,Ed Sheeran,,none,bad habits,ed sheeran,ed sheeran,2021,6820606.0,https://genius.com/Ed-sheeran-bad-habits-lyrics,/Ed-sheeran-bad-habits-lyrics,Bad Habits by Ed Sheeran,Ed Sheeran,1241041.0,,22.0,complete,1.0,False,False,False
2021-11-06,6,Way 2 Sexy,Drake Featuring Future & Young Thug,6.0,1,8,Way 2 Sexy,Drake Featuring Future & Young Thug,,none,way 2 sexy,drake featuring future and young thug,drake featuring future and young thug,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,7,Shivers,Ed Sheeran,9.0,7,7,Shivers,Ed Sheeran,,none,shivers,ed sheeran,ed sheeran,2021,7120797.0,https://genius.com/Ed-sheeran-shivers-lyrics,/Ed-sheeran-shivers-lyrics,Shivers by Ed Sheeran,Ed Sheeran,513669.0,,6.0,complete,1.0,False,False,False
2021-11-06,8,Good 4 U,Olivia Rodrigo,7.0,1,24,Good 4 U,Olivia Rodrigo,,none,good 4 u,olivia rodrigo,olivia rodrigo,2021,6702232.0,https://genius.com/Olivia-rodrigo-good-4-u-lyrics,/Olivia-rodrigo-good-4-u-lyrics,good 4 u by Olivia Rodrigo,Olivia Rodrigo,2912463.0,,10.0,complete,1.0,False,False,False
2021-11-06,9,Need To Know,Doja Cat,11.0,9,20,Need To Know,Doja Cat,,none,need to know,doja cat,doja cat,2021,6732114.0,https://genius.com/Doja-cat-need-to-know-lyrics,/Doja-cat-need-to-know-lyrics,Need To Know by Doja Cat,Doja Cat,1474084.0,,14.0,complete,1.0,False,False,False
2021-11-06,10,Levitating,Dua Lipa,8.0,2,56,Levitating,Dua Lipa,,none,levitating,dua lipa,dua lipa,2021,5215007.0,https://genius.com/Dua-lipa-levitating-lyrics,/Dua-lipa-levitating-lyrics,Levitating by Dua Lipa,Dua Lipa,1466571.0,,13.0,complete,1.0,False,False,False
