song_base,artist_canon,genius_full_title,genius_primary_artist,match_score_num,genius_url
maybach,42 dugg featuring future,,,0.0,
telephone,lady gaga featuring beyonce,,,0.0,
money to blow,birdman featuring lil wayne and drake,,,0.0,
i gotta feeling,the black eyed peas,,,0.0,
sharing locations,meek mill featuring lil baby and lil durk,,,0.0,
bubbly,young thug with drake and travis scott,,,0.0,
thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter,,,0.0,
leave the door open,silk sonic (bruno mars and anderson .paak),,,0.0,
better days,neiked x mae muller x polo g,,,0.0,
let's go brandon,bryson gray featuring tyson james and chandler crump,,,0.0,
moth to a flame,swedish house mafia and the weeknd,,,0.0,
meet me at our spot,the anxiety: willow and tyler cole,,,0.0,
knife talk,drake featuring 21 savage and project pat,,,0.0,
who want smoke,"nardo wick featuring g herbo, lil durk and 21 savage",,,0.0,
my universe,coldplay x bts,,,0.0,
wasted,gucci mane featuring plies or oj da juiceman,,,0.0,
party in the u s a,miley cyrus,,,0.0,
lo siento bb,"tainy, bad bunny and julieta venegas",,,0.0,
volvi,aventura x bad bunny,,,0.0,
switches and dracs,moneybagg yo featuring lil durk and est gee,,,0.0,
not in the mood,"lil tjay, fivio foreign and kay flock",,,0.0,
memory,kane brown x blackbear,,,0.0,
baddest,"yung bleu, chris brown and 2 chainz",,,0.0,
chosen,blxst and tyga featuring ty dolla $ign,,,0.0,
fair trade,drake featuring travis scott,,,0.0,
you right,doja cat and the weeknd,,,0.0,
cold heart,elton john and dua lipa,,,0.0,
kiss me more,doja cat featuring sza,,,0.0,
essence,wizkid featuring justin bieber and tems,,,0.0,
way 2 sexy,drake featuring future and young thug,,,0.0,
industry baby,lil nas x and jack harlow,,,0.0,
i want you to,weezer,,,0.0,
thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter,,,0.0,
leave before you love me,marshmello x jonas brothers,,,0.0,
fair trade,drake featuring travis scott,,,0.0,
leave the door open,silk sonic (bruno mars and anderson .paak),,,0.0,
sharing locations,meek mill featuring lil baby and lil durk,,,0.0,
meet me at our spot,the anxiety: willow and tyler cole,,,0.0,
cold heart,elton john and dua lipa,,,0.0,
bubbly,young thug with drake and travis scott,,,0.0,
who want smoke,"nardo wick featuring g herbo, lil durk and 21 savage",,,0.0,
knife talk,drake featuring 21 savage and project pat,,,0.0,
save your tears,the weeknd and ariana grande,,,0.0,
you right,doja cat and the weeknd,,,0.0,
my universe,coldplay x bts,,,0.0,
essence,wizkid featuring justin bieber and tems,,,0.0,
kiss me more,doja cat featuring sza,,,0.0,
way 2 sexy,drake featuring future and young thug,,,0.0,
way 2 sexy,drake featuring future and young thug,,,0.0,
stay,the kid laroi and justin bieber,,,0.0,
industry baby,lil nas x and jack harlow,,,0.0,
in the bible,drake featuring lil durk and giveon,,,0.0,
let somebody go,coldplay x selena gomez,,,0.0,
maybach,42 dugg featuring future,,,0.0,
rich n a shit,young thug with juice wrld,,,0.0,
volvi,aventura x bad bunny,,,0.0,
lo siento bb,"tainy, bad bunny and julieta venegas",,,0.0,
carry out,timbaland featuring justin timberlake,,,0.0,
stressed,young thug with j. cole and t-shyne,,,0.0,
livin it up,young thug with post malone and a$ap rocky,,,0.0,
chosen,blxst and tyga featuring ty dolla $ign,,,0.0,
memory,kane brown x blackbear,,,0.0,
baddest,"yung bleu, chris brown and 2 chainz",,,0.0,
better days,neiked x mae muller x polo g,,,0.0,
thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter,,,0.0,
lo siento bb,"tainy, bad bunny and julieta venegas",,,0.0,
leave before you love me,marshmello x jonas brothers,,,0.0,
meet me at our spot,the anxiety: willow and tyler cole,,,0.0,
peaches,justin bieber featuring daniel caesar and giveon,,,0.0,
fair trade,drake featuring travis scott,,,0.0,
leave the door open,silk sonic (bruno mars and anderson .paak),,,0.0,
sharing locations,meek mill featuring lil baby and lil durk,,,0.0,
cold heart,elton john and dua lipa,,,0.0,
my universe,coldplay x bts,,,0.0,
who want smoke,"nardo wick featuring g herbo, lil durk and 21 savage",,,0.0,
you right,doja cat and the weeknd,,,0.0,
knife talk,drake featuring 21 savage and project pat,,,0.0,
save your tears,the weeknd and ariana grande,,,0.0,
essence,wizkid featuring justin bieber and tems,,,0.0,
kiss me more,doja cat featuring sza,,,0.0,
volvi,aventura x bad bunny,,,0.0,
chosen,blxst and tyga featuring ty dolla $ign,,,0.0,
stay,the kid laroi and justin bieber,,,0.0,
forever,"drake featuring kanye west, lil wayne and eminem",,,0.0,
i gotta feeling,the black eyed peas,,,0.0,
video phone,beyonce featuring lady gaga,,,0.0,
party in the u s a,miley cyrus,,,0.0,
down,jay sean featuring lil wayne,,,0.0,
i want you to,weezer,,,0.0,
shots,lmfao featuring lil jon,,,0.0,
i'm going in,drake featuring lil wayne and young jeezy,,,0.0,
wasted,gucci mane featuring plies or oj da juiceman,,,0.0,
carry out,timbaland featuring justin timberlake,,,0.0,
memory,kane brown x blackbear,,,0.0,
i'm going in,drake featuring lil wayne and young jeezy,,,0.0,
baddest,"yung bleu, chris brown and 2 chainz",,,0.0,
cold heart,elton john and dua lipa,,,0.0,
fair trade,drake featuring travis scott,,,0.0,
sharing locations,meek mill featuring lil baby and lil durk,,,0.0,
you right,doja cat and the weeknd,,,0.0,
save your tears,the weeknd and ariana grande,,,0.0,
my universe,coldplay x bts,,,0.0,
essence,wizkid featuring justin bieber and tems,,,0.0,
knife talk,drake featuring 21 savage and project pat,,,0.0,
kiss me more,doja cat featuring sza,,,0.0,
way 2 sexy,drake featuring future and young thug,,,0.0,
industry baby,lil nas x and jack harlow,,,0.0,
