song_base,artist_canon,genius_id,genius_url,genius_path,genius_full_title,genius_primary_artist,genius_pageviews,genius_pyongs,genius_annotation_count,genius_lyrics_state,match_score,title_has_spanish_char,title_has_spanish_word,genius_has_spanish_translation_hint
easy on me,adele,7260084.0,https://genius.com/Adele-easy-on-me-lyrics,/Adele-easy-on-me-lyrics,Easy On Me by Adele,Adele,2968964.0,,7.0,complete,1.0,False,False,False
stay,the kid laroi and justin bieber,,,,,,,,,,0.0,False,False,False
industry baby,lil nas x and jack harlow,,,,,,,,,,0.0,False,False,False
fancy like,walker hayes,6784918.0,https://genius.com/Walker-hayes-fancy-like-lyrics,/Walker-hayes-fancy-like-lyrics,Fancy Like by Walker Hayes,Walker Hayes,135100.0,,18.0,complete,1.0,False,False,False
bad habits,ed sheeran,6820606.0,https://genius.com/Ed-sheeran-bad-habits-lyrics,/Ed-sheeran-bad-habits-lyrics,Bad Habits by Ed Sheeran,Ed Sheeran,1241041.0,,22.0,complete,1.0,False,False,False
way 2 sexy,drake featuring future and young thug,,,,,,,,,,0.0,False,False,False
shivers,ed sheeran,7120797.0,https://genius.com/Ed-sheeran-shivers-lyrics,/Ed-sheeran-shivers-lyrics,Shivers by Ed Sheeran,Ed Sheeran,513669.0,,6.0,complete,1.0,False,False,False
good 4 u,olivia rodrigo,6702232.0,https://genius.com/Olivia-rodrigo-good-4-u-lyrics,/Olivia-rodrigo-good-4-u-lyrics,good 4 u by Olivia Rodrigo,Olivia Rodrigo,2912463.0,,10.0,complete,1.0,False,False,False
need to know,doja cat,6732114.0,https://genius.com/Doja-cat-need-to-know-lyrics,/Doja-cat-need-to-know-lyrics,Need To Know by Doja Cat,Doja Cat,1474084.0,,14.0,complete,1.0,False,False,False
levitating,dua lipa,5215007.0,https://genius.com/Dua-lipa-levitating-lyrics,/Dua-lipa-levitating-lyrics,Levitating by Dua Lipa,Dua Lipa,1466571.0,,13.0,complete,1.0,False,False,False
essence,wizkid featuring justin bieber and tems,,,,,,,,,,0.0,False,False,False
kiss me more,doja cat featuring sza,,,,,,,,,,0.0,False,False,False
heat waves,glass animals,5318313.0,https://genius.com/Glass-animals-heat-waves-lyrics,/Glass-animals-heat-waves-lyrics,Heat Waves by Glass Animals,Glass Animals,1506595.0,,19.0,complete,1.0,False,False,False
beggin',maneskin,3446542.0,https://genius.com/Maneskin-beggin-lyrics,/Maneskin-beggin-lyrics,Beggin' by Måneskin,Måneskin,749207.0,,6.0,complete,1.0,False,False,False
cold heart,elton john and dua lipa,,,,,,,,,,0.0,False,False,False
you right,doja cat and the weeknd,,,,,,,,,,0.0,False,False,False
save your tears,the weeknd and ariana grande,,,,,,,,,,0.0,False,False,False
if i didn't love you,jason aldean and carrie underwood,8795728.0,https://genius.com/The-westlands-if-i-didnt-love-you-jason-aldean-and-carrie-underwood-cover-lyrics,/The-westlands-if-i-didnt-love-you-jason-aldean-and-carrie-underwood-cover-lyrics,If I Didn't Love You (Jason Aldean and Carrie Underwood cover) by The Westlands,The Westlands,,,0.0,complete,0.8346456692913385,False,False,False
traitor,olivia rodrigo,6702211.0,https://genius.com/Olivia-rodrigo-traitor-lyrics,/Olivia-rodrigo-traitor-lyrics,traitor by Olivia Rodrigo,Olivia Rodrigo,1543071.0,,6.0,complete,1.0,False,False,False
my universe,coldplay x bts,,,,,,,,,,0.0,False,False,False
who want smoke,"nardo wick featuring g herbo, lil durk and 21 savage",,,,,,,,,,0.0,False,False,False
knife talk,drake featuring 21 savage and project pat,,,,,,,,,,0.0,False,False,False
meet me at our spot,the anxiety: willow and tyler cole,,,,,,,,,,0.0,False,False,False
montero,lil nas x,5751286.0,https://genius.com/Lil-nas-x-montero-call-me-by-your-name-lyrics,/Lil-nas-x-montero-call-me-by-your-name-lyrics,MONTERO (Call Me By Your Name) by Lil Nas X,Lil Nas X,2621619.0,,13.0,complete,0.6181818181818182,False,True,False
chasing after you,ryan hurd with maren morris,6469514.0,https://genius.com/Ryan-hurd-and-maren-morris-chasing-after-you-lyrics,/Ryan-hurd-and-maren-morris-chasing-after-you-lyrics,Chasing After You by Ryan Hurd & Maren Morris,Ryan Hurd,112032.0,,1.0,complete,0.75,False,True,False
girls want girls,drake featuring lil baby,7165581.0,https://genius.com/Drake-girls-want-girls-lyrics,/Drake-girls-want-girls-lyrics,Girls Want Girls by Drake (Ft. Lil Baby),Drake,1062204.0,,6.0,complete,0.6984126984126984,False,False,False
moth to a flame,swedish house mafia and the weeknd,,,,,,,,,,0.0,False,False,False
let's go brandon,bryson gray featuring tyson james and chandler crump,,,,,,,,,,0.0,False,False,False
thats what i want,lil nas x,7105950.0,https://genius.com/Lil-nas-x-thats-what-i-want-lyrics,/Lil-nas-x-thats-what-i-want-lyrics,THATS WHAT I WANT by Lil Nas X,Lil Nas X,569383.0,,13.0,complete,1.0,False,False,False
pepas,farruko,6942022.0,https://genius.com/Farruko-pepas-lyrics,/Farruko-pepas-lyrics,Pepas by Farruko,Farruko,197815.0,,1.0,complete,1.0,False,False,False
love nwantiti,ckay,7555461.0,https://genius.com/Ckay-love-nwantiti-remix-lyrics,/Ckay-love-nwantiti-remix-lyrics,Love Nwantiti Remix by CKay (Ft. ElGrandeToto),CKay,36771.0,,0.0,complete,0.8571428571428571,False,True,False
take my breath,the weeknd,7065552.0,https://genius.com/The-weeknd-take-my-breath-lyrics,/The-weeknd-take-my-breath-lyrics,Take My Breath by The Weeknd,The Weeknd,437231.0,,9.0,complete,1.0,False,False,False
happier than ever,billie eilish,6533253.0,https://genius.com/Billie-eilish-happier-than-ever-lyrics,/Billie-eilish-happier-than-ever-lyrics,Happier Than Ever by Billie Eilish,Billie Eilish,4075545.0,,10.0,complete,1.0,False,False,False
