song_base,artist_canon,artist_name_has_spanish_char,artist_name_has_spanish_word,title_has_en_vivo,title_has_con_feat,genius_annotation_count,genius_pageviews
easy on me,adele,0,0,0,0,7.0,2968964.0
stay,the kid laroi and justin bieber,0,0,0,0,,
industry baby,lil nas x and jack harlow,0,0,0,0,,
fancy like,walker hayes,0,0,0,0,18.0,135100.0
bad habits,ed sheeran,0,0,0,0,22.0,1241041.0
way 2 sexy,drake featuring future and young thug,0,0,0,0,,
shivers,ed sheeran,0,0,0,0,6.0,513669.0
good 4 u,olivia rodrigo,0,0,0,0,10.0,2912463.0
need to know,doja cat,0,0,0,0,14.0,1474084.0
levitating,dua lipa,0,0,0,0,13.0,1466571.0
essence,wizkid featuring justin bieber and tems,0,0,0,0,,
kiss me more,doja cat featuring sza,0,0,0,0,,
heat waves,glass animals,0,0,0,0,19.0,1506595.0
beggin',maneskin,0,0,0,0,6.0,749207.0
cold heart,elton john and dua lipa,0,0,0,0,,
you right,doja cat and the weeknd,0,0,0,0,,
save your tears,the weeknd and ariana grande,0,0,0,0,,
if i didn't love you,jason aldean and carrie underwood,0,0,0,0,0.0,
traitor,olivia rodrigo,0,0,0,0,6.0,1543071.0
my universe,coldplay x bts,0,0,0,0,,
who want smoke,"nardo wick featuring g herbo, lil durk and 21 savage",0,0,0,0,,
knife talk,drake featuring 21 savage and project pat,0,0,0,0,,
meet me at our spot,the anxiety: willow and tyler cole,0,0,0,0,,
montero,lil nas x,0,0,0,0,13.0,2621619.0
chasing after you,ryan hurd with maren morris,0,0,0,0,1.0,112032.0
girls want girls,drake featuring lil baby,0,0,0,0,6.0,1062204.0
moth to a flame,swedish house mafia and the weeknd,0,0,0,0,,
let's go brandon,bryson gray featuring tyson james and chandler crump,0,0,0,0,,
thats what i want,lil nas x,0,0,0,0,13.0,569383.0
pepas,farruko,0,0,0,0,1.0,197815.0
love nwantiti,ckay,0,0,0,0,0.0,36771.0
take my breath,the weeknd,0,0,0,0,9.0,437231.0
happier than ever,billie eilish,0,0,0,0,10.0,4075545.0
wockesha,moneybagg yo,0,0,0,0,9.0,340284.0
better days,neiked x mae muller x polo g,0,0,0,0,,
buy dirt,jordan davis featuring luke bryan,0,0,0,0,6.0,53678.0
ghost,justin bieber,0,0,0,0,6.0,698161.0
lets go brandon,loza alexander,0,0,0,0,6.0,22161.0
cold as you,luke combs,0,0,0,0,2.0,45527.0
a-o-k,tai verdes,0,0,0,0,13.0,228770.0
you should probably leave,chris stapleton,0,0,0,0,7.0,172062.0
leave the door open,silk sonic (bruno mars and anderson .paak),0,0,0,0,,
thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter,0,0,0,0,,
memory i don't mess with,lee brice,0,0,0,0,0.0,22147.0
bubbly,young thug with drake and travis scott,0,0,0,0,,
wild side,normani featuring cardi b,0,0,0,0,2.0,405385.0
sharing locations,meek mill featuring lil baby and lil durk,0,0,0,0,,
gyalis,capella grey,0,0,0,0,4.0,85447.0
i was on a boat that day,old dominion,0,0,0,0,2.0,10673.0
family ties,baby keem and kendrick lamar,0,0,0,0,0.0,
have mercy,chloe,0,0,0,0,10.0,621854.0
fair trade,drake featuring travis scott,0,0,0,0,,
same boat,zac brown band,0,0,0,0,0.0,5046.0
my boy,elvie shane,0,0,0,0,2.0,77325.0
hurricane,kanye west,0,0,0,0,22.0,1672555.0
chosen,blxst and tyga featuring ty dolla $ign,0,0,0,0,,
baddest,"yung bleu, chris brown and 2 chainz",0,0,0,0,,
knowing you,kenny chesney,0,0,0,0,0.0,17509.0
memory,kane brown x blackbear,0,0,0,0,,
cold beer calling my name,jameson rodgers featuring luke combs,0,0,0,0,0.0,7828.0
not in the mood,"lil tjay, fivio foreign and kay flock",0,0,0,0,,
pissed me off,lil durk,0,0,0,0,4.0,111447.0
woman,doja cat,0,0,0,0,8.0,898054.0
sand in my boots,morgan wallen,0,0,0,0,12.0,137365.0
'til you can't,cody johnson,0,0,0,0,1.0,50067.0
love again,dua lipa,0,0,0,0,6.0,378471.0
whiskey and rain,michael ray,0,0,0,0,1.0,6565.0
one mississippi,kane brown,0,0,0,0,3.0,15784.0
switches and dracs,moneybagg yo featuring lil durk and est gee,0,0,0,0,,
jugaste y sufri,eslabon armado featuring dannylux,0,0,0,0,6.0,315314.0
too easy,gunna and future,0,0,0,0,16.0,156612.0
esta danada,ivan cornejo,0,0,0,0,2.0,130537.0
volvi,aventura x bad bunny,0,0,0,0,,
tequila little time,jon pardi,0,0,0,0,7.0,11914.0
whole lotta money,bia featuring nicki minaj,0,0,0,0,17.0,498566.0
2055,sleepy hallow,0,0,0,0,10.0,181850.0
maybach,42 dugg featuring future,0,0,0,0,,
wfm,realestk,0,0,0,0,3.0,95254.0
poke it out,wale featuring j. cole,0,0,0,0,10.0,53210.0
praise god,kanye west,0,0,0,0,16.0,1793144.0
lo siento bb,"tainy, bad bunny and julieta venegas",0,0,0,0,,
freedom was a highway,jimmie allen and brad paisley,0,0,0,0,0.0,6808.0
for tonight,giveon,0,0,0,0,5.0,205498.0
thot shit,megan thee stallion,0,0,0,0,21.0,863903.0
like a lady,lady a,0,0,0,0,2.0,
get into it,doja cat,0,0,0,0,18.0,835937.0
scorpio,moneybagg yo,0,0,0,0,12.0,63227.0
big energy,latto,0,0,0,0,8.0,261472.0
half of my hometown,kelsea ballerini featuring kenny chesney,0,0,0,0,3.0,21561.0
